# time of execution: 2022-07-22 16:23:20
### simulation parameters ###
# timestep dt=1e-16[s]
# initial temperature:100.0[K]
# initial magnetization [x,y,z]:['[0.0, 0.0, 0.9863]', '[0.0, 0.0, 1.0]']
### sample paramters ###
# Sample: ['Iron', 'Gadolinium']
# S=[2, 3.5]
# mu_at=[2.2, 7.5][mu_B]
# nz=2
# dx=[2.856e-10, 3.6e-10]	dy=[2.856e-10, 3.6e-10]	dz=[2.856e-10, 5.8e-10]	[m]
# atoms per unit cell:[2, 7.5]
# asf=[0.035, 0.12]
# Jint=0[J]
# Hex=0[J]
# gep=[<scipy.interpolate.interpolate.interp1d object at 0x00000247B97AC3B0>, <scipy.interpolate.interpolate.interp1d object at 0x00000247B9796450>][W/m^3/K]
# factor cv_el=[<scipy.interpolate.interpolate.interp1d object at 0x00000247B97AA4F0>, <scipy.interpolate.interpolate.interp1d object at 0x00000247B9796540>][J/m^3/K^2]
# cv_ph=[<scipy.interpolate.interpolate.interp1d object at 0x00000247B97A86D0>, <scipy.interpolate.interpolate.interp1d object at 0x00000247B9796860>][J/m^3/K]
# Tc=[1041, 293][K]
# T_Deb=[396, 160][K]
### pulse paramters ###
# peak power:6e+21[W/m^3]
# sigma=3.4e-14[s]
# delay=1e-11[s]
#############################
# time [ps]	magnetization	T_e [K]	T_p [K]
0.0	[array([1.]), array([1.])]	[array([100.]), array([100.])]	[array([100.]), array([100.])]
0.01	[array([0.99999998]), array([0.99999])]	[array([100.]), array([100.])]	[array([100.]), array([100.])]
0.02	[array([0.99999996]), array([0.99998001])]	[array([100.]), array([100.])]	[array([100.]), array([100.])]
0.03	[array([0.99999994]), array([0.99997002])]	[array([100.]), array([100.])]	[array([100.]), array([100.])]
0.04	[array([0.99999992]), array([0.99996003])]	[array([100.]), array([100.])]	[array([100.]), array([100.])]
0.05	[array([0.9999999]), array([0.99995004])]	[array([100.]), array([100.])]	[array([100.]), array([100.])]
0.06	[array([0.99999987]), array([0.99994005])]	[array([100.]), array([100.])]	[array([100.]), array([100.])]
0.07	[array([0.99999985]), array([0.99993007])]	[array([100.]), array([100.])]	[array([100.]), array([100.])]
0.08	[array([0.99999983]), array([0.99992009])]	[array([100.]), array([100.])]	[array([100.]), array([100.])]
0.09	[array([0.99999981]), array([0.99991011])]	[array([100.]), array([100.])]	[array([100.]), array([100.])]
0.1	[array([0.99999979]), array([0.99990013])]	[array([100.]), array([100.])]	[array([100.]), array([100.])]
0.11	[array([0.99999977]), array([0.99989015])]	[array([100.]), array([100.])]	[array([100.]), array([100.])]
0.12	[array([0.99999975]), array([0.99988018])]	[array([100.]), array([100.])]	[array([100.]), array([100.])]
0.13	[array([0.99999973]), array([0.99987021])]	[array([100.]), array([100.])]	[array([100.]), array([100.])]
0.14	[array([0.99999971]), array([0.99986024])]	[array([100.]), array([100.])]	[array([100.]), array([100.])]
0.15	[array([0.99999969]), array([0.99985027])]	[array([100.]), array([100.])]	[array([100.]), array([100.])]
0.16	[array([0.99999967]), array([0.9998403])]	[array([100.]), array([100.])]	[array([100.]), array([100.])]
0.17	[array([0.99999965]), array([0.99983034])]	[array([100.]), array([100.])]	[array([100.]), array([100.])]
0.18	[array([0.99999963]), array([0.99982038])]	[array([100.]), array([100.])]	[array([100.]), array([100.])]
0.19	[array([0.99999961]), array([0.99981042])]	[array([100.]), array([100.])]	[array([100.]), array([100.])]
0.2	[array([0.99999959]), array([0.99980047])]	[array([100.]), array([100.])]	[array([100.]), array([100.])]
0.21	[array([0.99999957]), array([0.99979051])]	[array([100.]), array([100.])]	[array([100.]), array([100.])]
0.22	[array([0.99999955]), array([0.99978056])]	[array([100.]), array([100.])]	[array([100.]), array([100.])]
0.23	[array([0.99999953]), array([0.99977061])]	[array([100.]), array([100.])]	[array([100.]), array([100.])]
0.24	[array([0.99999951]), array([0.99976067])]	[array([100.]), array([100.])]	[array([100.]), array([100.])]
0.25	[array([0.99999949]), array([0.99975072])]	[array([100.]), array([100.])]	[array([100.]), array([100.])]
0.26	[array([0.99999947]), array([0.99974078])]	[array([100.]), array([100.])]	[array([100.]), array([100.])]
0.27	[array([0.99999945]), array([0.99973084])]	[array([100.]), array([100.])]	[array([100.]), array([100.])]
0.28	[array([0.99999943]), array([0.9997209])]	[array([100.]), array([100.])]	[array([100.]), array([100.])]
0.29	[array([0.99999941]), array([0.99971097])]	[array([100.]), array([100.])]	[array([100.]), array([100.])]
0.3	[array([0.99999939]), array([0.99970103])]	[array([100.]), array([100.])]	[array([100.]), array([100.])]
0.31	[array([0.99999937]), array([0.9996911])]	[array([100.]), array([100.])]	[array([100.]), array([100.])]
0.32	[array([0.99999935]), array([0.99968117])]	[array([100.]), array([100.])]	[array([100.]), array([100.])]
0.33	[array([0.99999933]), array([0.99967125])]	[array([100.]), array([100.])]	[array([100.]), array([100.])]
0.34	[array([0.99999931]), array([0.99966133])]	[array([100.]), array([100.])]	[array([100.]), array([100.])]
0.35	[array([0.99999929]), array([0.9996514])]	[array([100.]), array([100.])]	[array([100.]), array([100.])]
0.36	[array([0.99999927]), array([0.99964148])]	[array([100.]), array([100.])]	[array([100.]), array([100.])]
0.37	[array([0.99999925]), array([0.99963157])]	[array([100.]), array([100.])]	[array([100.]), array([100.])]
0.38	[array([0.99999923]), array([0.99962165])]	[array([100.]), array([100.])]	[array([100.]), array([100.])]
0.39	[array([0.99999921]), array([0.99961174])]	[array([100.]), array([100.])]	[array([100.]), array([100.])]
0.4	[array([0.9999992]), array([0.99960183])]	[array([100.]), array([100.])]	[array([100.]), array([100.])]
0.41	[array([0.99999918]), array([0.99959192])]	[array([100.]), array([100.])]	[array([100.]), array([100.])]
0.42	[array([0.99999916]), array([0.99958202])]	[array([100.]), array([100.])]	[array([100.]), array([100.])]
0.43	[array([0.99999914]), array([0.99957212])]	[array([100.]), array([100.])]	[array([100.]), array([100.])]
0.44	[array([0.99999912]), array([0.99956222])]	[array([100.]), array([100.])]	[array([100.]), array([100.])]
0.45	[array([0.9999991]), array([0.99955232])]	[array([100.]), array([100.])]	[array([100.]), array([100.])]
0.46	[array([0.99999908]), array([0.99954242])]	[array([100.]), array([100.])]	[array([100.]), array([100.])]
