# time of execution: 2022-06-17 14:52:52
#model:sd
### simulation parameters ###
# timestep dt=1e-16[s]
# initial temperature:100.0[K]
# initial magnetization [x,y,z]:[0.0, 0.0, 1.0]
### sample paramters ###
# Sample: Gadolinium
# S=3
# mu_at=7[mu_B]
# nx=1	ny=1	nz=1
# dx=3.6e-10	dy=3.6e-10	dz=5.8e-10	[m]
# atoms per unit cell:6
# asf=0.12
# gep=2.5e+17[W/m^3/K]
# factor cv_el=225[J/m^3/K^2]
# cv_ph computed with Einstein model, T_Ein=0.75*160[K]
# R/g_ep = 4.173178204080627e-07[1/s]
# Tc=293[K]
# T_Deb=160[K]
### pulse paramters ###
# peak power:5e+20[W/m^3]
# sigma=4.95e-14[s]
# delay=1e-11[s]
#############################
# time [ps]	magnetization	T_e [K]	T_p [K]	E_tot [J/m^3]	E_el [J/m^3]	E_ph [J/m^3]	E_spin [J/m^3]	mu_s [J/m^3]
0.0	1.0	100.0	100.0	0	0	0	0	[0]
0.01	1.0	100.0	100.0	0.0	0.0	0.0	0.0	[-4.99845101e-50]
0.02	1.0	100.0	100.0	0.0	0.0	0.0	0.0	[-9.99690203e-50]
0.03	1.0	100.0	100.0	0.0	0.0	0.0	0.0	[-1.4995353e-49]
0.04	1.0	100.0	100.0	0.0	0.0	0.0	0.0	[-1.99938041e-49]
0.05	1.0	100.0	100.0	0.0	0.0	0.0	0.0	[-2.49922551e-49]
0.06	1.0	100.0	100.0	0.0	0.0	0.0	0.0	[-2.99907061e-49]
0.07	1.0	100.0	100.0	0.0	0.0	0.0	0.0	[-3.49891571e-49]
0.08	1.0	100.0	100.0	0.0	0.0	0.0	0.0	[-3.99876081e-49]
0.09	1.0	100.0	100.0	0.0	0.0	0.0	0.0	[-4.49860591e-49]
0.1	1.0	100.0	100.0	0.0	0.0	0.0	0.0	[-4.99845101e-49]
0.11	1.0	100.0	100.0	0.0	0.0	0.0	0.0	[-5.49829612e-49]
0.12	1.0	100.0	100.0	0.0	0.0	0.0	0.0	[-5.99814122e-49]
0.13	1.0	100.0	100.0	0.0	0.0	0.0	0.0	[-6.49798632e-49]
0.14	1.0	100.0	100.0	0.0	0.0	0.0	0.0	[-6.99783142e-49]
0.15	1.0	100.0	100.0	0.0	0.0	0.0	0.0	[-7.49767652e-49]
0.16	1.0	100.0	100.0	0.0	0.0	0.0	0.0	[-7.99752162e-49]
0.17	1.0	100.0	100.0	0.0	0.0	0.0	0.0	[-8.49736672e-49]
0.18	1.0	100.0	100.0	0.0	0.0	0.0	0.0	[-8.99721183e-49]
0.19	1.0	100.0	100.0	0.0	0.0	0.0	0.0	[-9.49705693e-49]
0.2	1.0	100.0	100.0	0.0	0.0	0.0	0.0	[-9.99690203e-49]
0.21	1.0	100.0	100.0	0.0	0.0	0.0	0.0	[-1.04967471e-48]
0.22	1.0	100.0	100.0	0.0	0.0	0.0	0.0	[-1.09965922e-48]
0.22999999999999998	1.0	100.0	100.0	0.0	0.0	0.0	0.0	[-1.14964373e-48]
0.24	1.0	100.0	100.0	0.0	0.0	0.0	0.0	[-1.19962824e-48]
0.25	1.0	100.0	100.0	0.0	0.0	0.0	0.0	[-1.24961275e-48]
0.26	1.0	100.0	100.0	0.0	0.0	0.0	0.0	[-1.29959726e-48]
0.27	1.0	100.0	100.0	0.0	0.0	0.0	0.0	[-1.34958177e-48]
0.28	1.0	100.0	100.0	0.0	0.0	0.0	0.0	[-1.39956628e-48]
0.29	1.0	100.0	100.0	0.0	0.0	0.0	0.0	[-1.44955079e-48]
0.3	1.0	100.0	100.0	0.0	0.0	0.0	0.0	[-1.4995353e-48]
0.31	1.0	100.0	100.0	0.0	0.0	0.0	0.0	[-1.54951981e-48]
0.32	1.0	100.0	100.0	0.0	0.0	0.0	0.0	[-1.59950432e-48]
